bulan;tahun;jumlah_armada_tj;jumlah_penumpang_lrt;jumlah_penumpang_mrt;jumlah_perjalanan_lrt;jumlah_perjalanan_mrt
1;2023;3853;72424;2540315;6190;8035
2;2023;3864;76166;2378568;5980;7340
3;2023;3890;82754;2699585;6200;8035
4;2023;3853;72318;2065546;5998;7270
5;2023;3944;78639;2681876;6198;8161
6;2023;3980;84008;2709731;6098;7688
7;2023;4114;86574;2959449;6322;8109
8;2023;4090;87476;2999724;6322;8253
9;2023;4136;92718;3003191;6120;7909
10;2023;4261;92809;3139371;6314;8229
11;2023;4369;91616;3144382;6120;8229
12;2023;4356;98413;3036358;6350;8124
1;2024;4395;93631;3133700;6324;8241
2;2024;4456;89934;2595293;5916;7539
3;2024;4451;92004;2876356;6321;7977
4;2024;4457;84571;2607904;6120;7626
5;2024;4409;96550;3175772;6324;7882
